Plot,Line,Tag,DIS,LOC,POM,DTN,DGH,DBH,Morpho,Main Stem,Notes
SW,4,1427,15.4,R,,,1.2,,,,
SW,4,1432,16.5,L,,,,1.4,,,
SW,4,1424,17.2,C,,,1.2,,,,
SW,4,1433,17.3,R,,,1.7,,,,
SW,4,1434,17.8,C,,,,1.3,,,
SW,4,1435,17.8,C,,,1.3,,,,
SW,4,1428,18.3,C,,,1.8,,,,
SW,4,1436,18.1,L,,,1.3,,,,
SW,4,1430,18.1,L,,,1.1,,,,
SW,4,1437,18.1,RR,,,1.4,,,,
SW,4,1431,18.8,R,,,1.7,,,,
SW,4,1440,18.8,R,,,1.9,,,,
SW,4,1442,19.2,C,,,1.2,,,,
SW,4,1438,20.3,RR,,,1.4,,,,
SW,4,1441,19.8,C,,,1,,,,
SW,4,1429,19.8,C,,,1.5,,,,
SW,4,1439,20,RR,,,1.5,,,,
SW,4,1443,19.8,LL,,,2.2,,,,
SW,4,1444,20.5,LL,,,1.2,,,,
SW,4,1448,20.4,R,,,,1.1,,,
SW,4,1445,21.2,R,,,,1.3,,,
SW,4,1449,21.3,LL,,,,6.1,LIANA,,
SW,4,1451,21.3,LL,,,,2,,,
SW,4,1446,21.5,R,,,1,,,,
SW,4,1450,22.4,L,,,1.4,,,,
SW,4,1452,22.4,L,,,1.1,,,,
SW,4,1447,22.3,RR,,,,1,,,
SW,4,1453,22.2,LL,,,,15.6,LIANA,MAIN STEM,
SW,4,1454,24,L,,,1.9,,,,
SW,4,1456,22.9,RR,,,1.9,,,STEM OF 1453,
SW,4,1455,24.7,LL,,,1.5,,,,
SW,4,1461,,,,,1.3,,,,
SW,4,1457,24.6,RR,,,,2.8,,STEM OF 1453,
SW,4,1462,24.7,L,,,1,,,,
SW,4,1463,24.9,L,,,1.6,,,,
SW,4,1458,25.5,RR,,,,1.1,,,
SW,4,1464,25.5,L,,,1.9,,,,
SW,4,1465,26.7,RR,,,1,,,,
SW,4,1466,26.7,RR,,,1.1,,,,
SW,4,1459,26.3,R,,,,1.8,,,
SW,4,1467,26.8,L,,,,1.4,,,
SW,4,1468,28.6,L,,,,2.1,,,
SW,4,1460,26.6,RR,,,1.1,,,,
SW,4,1469,26.5,RR,,,,2.1,,,
SW,4,1470,26.8,R,,,,2.1,,,
SW,4,1471,26.8,RR,,,,2.1,,,
SW,4,1473,26.8,RR,,,,2.3,,,
SW,4,1472,26.8,R,,,,2.3,,,
SW,4,1474,27,R,,,,3.1,,,
SW,4,1475,27.7,L,,,1.3,,,,
SW,4,1476,27.7,L,,,1,,,,
SW,4,1477,28.5,R,,,1,,,,
SW,4,1478,29,LL,,,,1.4,,,
SW,4,1479,29.9,L,,,,1.2,,MAIN STEM,
SW,4,1480,30.8,R,,,,1.1,,STEM OF 1483,
SW,4,1481,29.9,L,,,,1.1,,STEM OF 1479,
SW,4,1485,30,L,,,,3.5,,,
SW,4,1483,30.7,R,,,,2.1,,MAIN STEM (1480),
SW,4,1486,32.3,C,,,,2.2,,MAIN STEM,
SW,4,1487,30.8,C,,,,1,,STEM OF 1486,
SW,4,1484,31.6,R,,,,1.4,,,
SW,4,1490,31.6,L,,,,2,,,
SW,4,1493,32,L,,,,2,,,
SW,4,1491,32.4,R,,,,1.2,,,
SW,4,1488,31.7,L,,,,1.8,,,
SW,4,1489,31.7,R,,,,1.3,,,
SW,4,1494,31.8,L,,,,1.4,,,
SW,4,1495,32.5,L,,,,1.3,,,
SW,4,1492,32.5,R,,,,1.6,,,
SW,4,1496,32.5,L,,,,1.5,,,
SW,4,1498,32.6,R,,,,1.3,,,
SW,4,1497,32.7,L,,,,1.4,,,
SW,4,1499,32.7,L,,,,1.2,,,
SW,4,1500,32,R,,,1.4,,,,
SW,4,1501,14.7,C,,,1.1,,,,
SW,4,1502,15,C,,,1.3,,,,
SW,4,1503,15.4,C,,,1.3,,,,
SW,4,1504,33.5,RR,,,1.2,,,,
SW,4,1508,33.7,L,,,,1.4,,,
SW,4,1509,33.5,L,,,,1.6,,,
SW,4,1505,33.4,R,,,,1.2,,,
SW,4,1510,34.9,C,,,1,,,,
SW,4,1511,34.5,C,,,,5.6,,,
SW,4,1506,33.5,L,,,,1.5,,,
SW,4,1512,36.2,L,,,,6.2,,MAIN STEM,
SW,4,1513,36.2,L,,,,3.8,,STEM OF 1512,
SW,4,1518,36.2,L,,,,2.8,,STEM OF 1512,
SW,4,1509,34.1,L,,,1.1,,,,
SW,4,1520,36.3,L,,,,7.5,,,
SW,4,1514,34.2,LL,,,2.5,,,,
SW,4,1519,36.4,C,,,1.5,,,,
SW,4,1515,34.8,L,,,1.1,,,,
SW,4,1521,37,L,,,1,,,,
